Prompt,Embedding_dim_1,Embedding_dim_2,Label
The trainer taught the,0.27,0.39,dog
You can't teach an old,1.06,0.89,dog
She has been working like a,0.77,0.65,dog
I'm having a hot,0.66,1.09,dog
It's time to walk the,0.61,1.64,dog
The sheep were herded by a working,0.94,1.29,dog
The search-and-rescue team will deploy a,0.61,0.78,dog
The kids played fetch with the,0.89,1.13,dog
She relies on her guide,0.64,0.98,dog
"""Sit"" and ""stay"" are important commands for a",0.71,0.41,dog
Stop playing a game of mouse and,-1.38,-1.12,cat
Don't let the,-1.34,-0.74,cat
We need to clean the litter box for the,-1.26,-0.9,cat
The jewel thief was a notorious,-0.72,-1.04,cat
"When the manager is away, it's like the",-1.36,-0.98,cat
The purring by the,-1.53,-1.31,cat
"Whenever I hear meowing, I'm thinking about the",-0.69,-1,cat
The kittens come from a,-0.99,-0.99,cat
Three mice were brought home by the,-1.78,-1,cat
Garfield is a famous,-0.75,-1.02,cat
