Prompt,Embedding_dim_1,Embedding_dim_2,Label
Jide was hungry so she went looking for,0.27,0.39,food
The best part of the street fair was the incredible variety of,1.06,0.89,food
He opened the refrigerator and it was full of tasty,0.77,0.65,food
The main attraction at the festival was the amazing,0.66,1.09,food
The lion went hunting for,0.61,1.64,food
The farmers worked hard to grow a lot of,0.94,1.29,food
Her favourite part of visiting new places is trying the local,0.61,0.78,food
The toddlers made a huge mess with their,0.89,1.13,food
The market sells a lot of delicious fresh,0.64,0.98,food
My doctor advised me to avoid very fatty,0.71,0.41,food
Stop playing a game of mouse and,-1.38,-1.12,water
Jide was thirsty so she went looking for,-1.34,-0.74,water
The first step in making tea is to boil the,-1.26,-0.9,water
She stared at the reflection of the city lights shimmering on the surface of the,-0.72,-1.04,water
He washed the mud from his boots with a bucket of soapy,-1.36,-0.98,water
To stay hydrated, it is recommended you drink plenty of,-1.53,-1.31,water
A key sign of life on other planets that scientists search for is the presence of liquid,-0.69,-1,water
The sound of rain comes from the dripping of,-0.99,-0.99,water
The boat cut through the river's calm,-1.78,-1,water
The well used to provide a lot of fresh,-0.75,-1.02,water
